,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Aggregate,,,,,,,,,,,,,Auto,,,,,,,,,Switch/Scale,,,,,,,,Vault,,,,,,,,,,Endgame,,,,,,,,Miscellaneous,,,,,,,Awards,,,,,,,,,,,,,,,,,,,
team Number,nickname,home Championship,event,Week,winning Margin Elo,total Points,winning Margin,ranking Points,auto Points,teleop Excluding Endgame Points,endgame Points,auto Elo Points,scale Elo Points,switch and Scale Elo Points,win,opponent Switch Deactivated Seconds,placeholder,auto Run Points,auto Run Rate,auto Switch Ownership Seconds,auto Switch At Zero,auto Scale Ownership Seconds,auto Scale Ownership Margin,auto Ownership Points,auto Ownership Points Margin,auto Quest Ranking Point,teleop Switch Ownership Seconds,teleop Switch Force Seconds,teleop Switch Boost Seconds,teleop Scale Ownership Seconds,teleop Scale Force Seconds,teleop Scale Boost Seconds,teleop Ownership Points,teleop Ownership Points Margin,vault Force Played,vault Force Total,average Force Efficiency,vault Levitate Played,vault Levitate Total,average Levitate Efficiency,vault Boost Played,vault Boost Total,average Boost Efficiency,vault Points,parking Points,climbing Points,levitate Points,climb Rate,adjusted Levitate Rate,adjusted Climb Or Levitate Rate,adjusted Individual Endgame Points,face The Boss Ranking Point,foul Count,fouls Drawn,tech Foul Count,tech Fouls Drawn,foul Points,foul Points Drawn,tba Ranking Points Earned,Chairman's Strength (mCA),,,,,,,,,,,,,,,,,,,
6588,Counter-Torque Robotics,Detroit,FIM District Lakeview Event,6,1420,78.14,-3.85,0.96,14.39,52.14,9.37,-1.00,-1.00,-1.00,0.41,8.05,-1.00,5.94,1.00,3.50,0.44,0.73,0.80,8.45,5.71,0.54,29.49,-1.70,0.04,20.49,0.52,-0.92,49.11,-14.51,-0.06,0.05,0.25,0.33,0.54,0.20,-0.35,0.02,0.33,3.03,2.64,3.44,3.28,0.08,0.29,0.38,14.17,-0.05,0.18,-0.14,-0.31,0.12,-6.73,2.23,-1.00,0,,,,,,,,,,,,,,,,,,,
6588,Counter-Torque Robotics,Detroit,FIM District Gull Lake Event,3,1418,57.99,-40.37,-0.21,4.66,40.25,5.88,-1.00,-1.00,-1.00,0.24,-2.60,-1.00,4.17,0.83,0.62,0.16,-0.37,-0.06,0.49,-3.56,0.00,25.17,0.31,1.41,9.30,-0.21,0.47,36.35,-33.45,0.12,0.05,0.35,0.09,0.17,0.30,0.74,0.56,0.07,3.90,2.28,2.53,1.08,0.00,0.25,0.25,10.42,-0.02,-0.12,1.22,0.10,0.04,1.92,7.19,-1.00,0,,,,,,,,,,,,,,,,,,,
6589,Cardinal.EXE,Detroit,FIM District Lakeview Event,6,1361,50.94,-125.56,-0.41,3.06,32.60,13.52,-1.00,-1.00,-1.00,0.09,-14.83,-1.00,2.76,0.67,0.88,0.08,-0.73,-1.12,0.30,-5.12,-0.04,35.24,2.19,-1.27,-11.11,2.34,-1.41,21.44,-86.07,0.63,0.57,0.42,1.40,1.27,0.41,-0.19,0.39,0.14,11.16,3.08,-3.56,13.99,0.08,0.35,0.43,16.67,-0.06,0.25,1.15,0.31,-0.16,9.04,1.77,-1.00,0,,,,,,,,,,,,,,,,,,,
6589,Cardinal.EXE,Detroit,FIM District Shepherd Event,5,1371,5.19,-86.41,0.00,2.82,-4.76,5.06,-1.00,-1.00,-1.00,0.22,2.23,-1.00,1.63,0.42,0.97,0.10,-0.37,-0.18,1.20,-4.61,-0.03,-19.22,-1.55,-2.83,22.72,-0.03,-2.28,-1.61,-67.74,-0.13,-0.27,0.40,0.05,0.17,0.25,-0.60,-0.53,0.21,-3.14,1.02,3.34,0.70,0.00,0.24,0.24,8.33,-0.03,-0.20,0.27,0.17,0.03,3.17,2.06,-1.00,0,,,,,,,,,,,,,,,,,,,
6590,SaviTech,Detroit,New York City Regional,6,1519,76.97,10.10,0.53,10.35,53.90,12.20,-1.00,-1.00,-1.00,0.36,22.34,-1.00,5.21,1.00,2.80,0.30,-0.24,-0.38,5.14,2.36,0.42,31.16,1.69,-0.70,22.65,-1.73,-0.87,52.23,8.38,-0.24,-0.39,0.43,0.35,0.67,0.21,-0.26,0.06,0.10,1.66,1.76,6.92,3.52,0.18,0.19,0.36,12.94,0.02,-0.13,0.81,0.13,-0.14,2.58,0.53,-1.00,0,,,,,,,,,,,,,,,,,,,
6591,Panther Powered,Detroit,FIM District Lansing Event,4,1524,141.80,111.27,1.15,9.31,109.43,10.37,-1.00,-1.00,-1.00,0.24,25.01,-1.00,4.01,0.93,2.75,0.41,-0.10,-0.04,5.31,-2.87,0.33,41.40,1.45,0.24,56.35,1.16,2.05,100.04,89.57,0.43,0.42,0.31,0.98,0.91,0.39,0.58,0.55,0.23,9.39,4.16,-3.63,9.84,0.14,0.27,0.42,16.79,-0.05,-0.10,0.41,-0.21,0.43,-5.71,12.69,-1.00,0,,,,,,,,,,,,,,,,,,,
6591,Panther Powered,Detroit,FIM District Gibraltar Event,1,1425,32.92,-65.70,0.02,6.78,19.44,15.57,-1.00,-1.00,-1.00,0.24,2.13,-1.00,4.29,0.83,1.48,0.09,-0.23,-0.50,2.49,4.77,0.09,6.98,0.17,-1.29,9.45,0.45,0.22,15.35,-52.36,0.09,0.01,0.41,0.90,0.85,0.35,0.01,-0.04,0.28,4.09,1.18,4.94,9.46,0.42,0.24,0.65,21.67,0.04,0.02,-0.48,-0.17,-0.26,-4.18,-8.88,-1.00,0,,,,,,,,,,,,,,,,,,,
6592,Sexton Redbots,Detroit,FIM District Shepherd Event,5,1349,67.65,-41.43,0.44,11.03,46.89,15.10,-1.00,-1.00,-1.00,0.23,7.71,-1.00,4.80,1.00,3.67,0.38,-0.56,-0.22,6.23,5.19,0.30,40.82,0.87,0.75,-0.24,-0.06,-0.96,40.38,-29.43,0.03,0.20,0.25,0.49,0.44,0.36,0.29,0.66,0.13,6.51,0.66,9.94,4.50,0.33,0.19,0.53,17.50,0.14,-0.34,0.54,0.60,-0.32,13.34,-5.37,-1.00,0,,,,,,,,,,,,,,,,,,,
6592,Sexton Redbots,Detroit,FIM District Lansing Event,4,1393,68.84,-62.24,0.14,9.50,44.42,12.20,-1.00,-1.00,-1.00,0.15,4.12,-1.00,3.02,1.00,3.26,0.26,-0.02,-0.04,6.49,3.98,0.07,30.61,0.11,-0.34,10.77,0.42,0.91,41.95,-17.19,0.14,0.02,0.37,0.14,0.25,0.24,0.24,0.22,0.31,2.48,1.56,9.25,1.39,0.00,0.24,0.24,10.00,0.02,-0.25,-0.32,1.54,0.17,37.16,2.70,-1.00,0,,,,,,,,,,,,,,,,,,,
6593,Lions,Detroit,New York City Regional,6,1460,61.03,8.54,0.85,9.24,37.09,9.78,-1.00,-1.00,-1.00,0.28,25.07,-1.00,4.53,0.82,2.23,0.29,0.13,0.29,4.72,2.48,0.19,26.35,0.95,0.73,7.63,-1.54,-1.11,33.60,7.97,-0.10,-0.18,0.28,0.82,0.76,0.35,0.02,0.11,0.20,3.48,2.63,-1.04,8.19,0.00,0.29,0.29,11.82,0.00,-0.12,-0.58,0.54,0.31,12.89,4.92,-1.00,0,,,,,,,,,,,,,,,,,,,
6594,EV ROBOTICS,Detroit,FIM District Shepherd Event,5,1365,74.90,-68.40,0.13,4.75,39.71,9.93,-1.00,-1.00,-1.00,0.32,-8.56,-1.00,5.08,0.94,0.10,0.00,-0.26,-0.66,-0.34,-1.44,0.06,27.55,0.93,2.36,0.96,0.14,-0.67,30.20,-65.08,0.08,0.08,0.33,1.11,1.01,0.39,0.41,0.81,0.11,9.52,1.68,-2.93,11.19,0.00,0.44,0.44,15.00,-0.04,0.99,1.78,0.50,0.47,17.40,20.57,-1.00,0,,,,,,,,,,,,,,,,,,,
6594,EV ROBOTICS,Detroit,FIM District Lansing Event,4,1346,-4.17,-140.30,-0.39,2.34,-14.94,1.66,-1.00,-1.00,-1.00,0.33,-5.67,-1.00,3.06,0.67,-0.35,-0.04,-0.01,0.10,-0.72,-6.39,0.03,-0.80,0.13,-2.24,-7.66,-1.71,-2.01,-12.71,-106.55,-0.37,-0.33,0.27,0.11,0.61,0.08,-0.78,-0.73,0.35,-2.23,1.19,-0.59,1.05,0.08,0.22,0.31,10.42,-0.02,1.59,-0.33,0.12,0.34,10.89,6.77,-1.00,0,,,,,,,,,,,,,,,,,,,
6595,QUAKE,Detroit,FIM District Shepherd Event,5,1275,4.10,-167.02,-0.40,-1.63,-8.64,13.54,-1.00,-1.00,-1.00,0.14,-9.50,-1.00,1.62,0.50,-1.27,-0.13,-0.35,-0.80,-3.25,-11.73,-0.07,-9.71,2.41,-0.08,-1.89,1.12,-0.92,-12.60,-116.05,0.41,0.49,0.30,0.63,0.58,0.37,-0.20,-0.28,0.45,3.96,4.25,2.76,6.54,0.00,0.35,0.35,13.75,0.04,0.20,0.12,0.42,0.01,11.39,0.82,-1.00,0,,,,,,,,,,,,,,,,,,,
6595,QUAKE,Detroit,FIM District Lansing Event,4,1390,46.61,-48.88,0.12,7.82,31.22,8.09,-1.00,-1.00,-1.00,0.31,7.43,-1.00,4.77,0.83,1.55,0.12,-0.03,0.03,3.05,0.79,0.04,17.90,-0.02,0.93,5.02,1.31,0.55,24.40,-44.23,0.22,0.25,0.28,0.72,0.89,0.21,0.12,0.22,0.21,6.82,4.62,-3.73,7.20,0.00,0.28,0.28,10.00,-0.01,0.44,0.22,-0.13,-0.07,-1.05,-0.54,-1.00,0,,,,,,,,,,,,,,,,,,,
6597,Eagles,Detroit,FIM District Forest Hills Event,6,1433,64.59,-34.83,0.12,4.54,48.48,12.63,-1.00,-1.00,-1.00,-0.04,6.64,-1.00,1.41,0.33,0.89,0.06,0.67,0.26,3.13,-1.27,-0.13,24.90,-0.72,2.06,18.03,0.63,-1.37,43.63,-21.06,0.05,-0.09,0.38,0.83,0.78,0.37,0.15,0.28,0.12,4.85,2.52,1.84,8.26,0.00,0.33,0.33,12.92,-0.01,0.72,-0.47,-0.18,0.05,-1.01,-1.05,-1.00,0,,,,,,,,,,,,,,,,,,,
6597,Eagles,Detroit,FIM District Kettering University Event #2,2,1390,32.65,-80.84,-0.03,-1.46,18.32,7.94,-1.00,-1.00,-1.00,-0.07,6.31,-1.00,-0.18,0.00,-0.17,0.09,-0.47,-0.61,-1.29,-4.47,-0.21,12.48,0.95,-1.02,1.24,0.99,-0.75,11.95,-56.38,0.34,0.44,0.28,1.00,1.05,0.29,-0.11,-0.21,0.25,6.37,1.83,-4.31,10.42,0.00,0.29,0.29,10.83,-0.04,0.30,0.95,0.19,0.12,6.24,7.84,-1.00,0,,,,,,,,,,,,,,,,,,,
6599,Northport Wildcats,Detroit,FIM District Lake Superior State University Event,6,1354,51.15,-39.03,0.23,7.58,32.05,5.52,-1.00,-1.00,-1.00,0.40,12.50,-1.00,4.84,1.00,1.50,0.16,-0.13,-0.06,2.74,3.18,0.13,15.76,0.07,-0.49,19.06,-1.45,-1.45,32.88,-12.68,-0.30,-0.44,0.43,0.34,0.54,0.19,-0.26,-0.27,0.34,-0.83,3.93,-1.79,3.38,0.00,0.24,0.24,9.58,-0.04,-0.06,0.29,0.45,0.18,11.00,6.00,-1.00,0,,,,,,,,,,,,,,,,,,,
6599,Northport Wildcats,Detroit,FIM District Traverse City Event,1,1361,26.56,-101.48,-0.56,5.68,27.66,-2.05,-1.00,-1.00,-1.00,0.14,4.94,-1.00,3.40,0.67,0.80,0.17,0.34,0.22,2.27,2.21,-0.14,44.66,-0.01,-0.64,-15.59,0.55,-0.64,27.79,-64.68,0.12,0.19,0.24,0.07,0.30,0.21,-0.35,-0.51,0.53,-0.12,3.64,-6.53,0.84,0.08,0.14,0.22,8.33,-0.01,-0.32,-0.34,0.29,-0.12,5.64,-4.75,-1.00,0,,,,,,,,,,,,,,,,,,,
6600,Baldwin Panthers,Detroit,FIM District East Kentwood Event,5,1371,52.25,-85.78,0.04,3.63,31.84,3.63,-1.00,-1.00,-1.00,0.38,4.18,-1.00,4.44,0.83,-0.14,0.02,-0.26,-1.28,-0.80,-0.60,0.00,25.82,-1.67,2.60,4.39,0.02,-0.76,32.05,-55.00,-0.13,-0.06,0.27,-0.06,0.03,0.29,0.00,-0.01,0.44,-0.21,2.09,1.99,-0.46,0.08,0.25,0.33,11.67,-0.03,1.53,1.43,-0.34,0.24,-0.75,13.15,-1.00,0,,,,,,,,,,,,,,,,,,,
6600,Baldwin Panthers,Detroit,FIM District Traverse City Event,1,1362,40.47,-58.67,-0.12,1.65,17.87,13.29,-1.00,-1.00,-1.00,-0.13,8.79,-1.00,0.82,0.25,0.46,0.11,-0.04,0.15,0.84,-3.62,-0.09,21.08,0.15,0.66,0.51,-0.81,-1.27,20.98,-50.52,-0.15,-0.30,0.42,-0.10,0.05,0.14,-0.34,-0.37,0.44,-3.11,-0.19,14.42,-0.94,0.17,0.21,0.38,12.08,-0.01,0.06,0.91,-0.16,0.12,-3.66,7.64,-1.00,0,,,,,,,,,,,,,,,,,,,
6601,Easy Company,Detroit,Hudson Valley Regional,4,1378,44.25,-67.11,0.38,4.68,20.50,4.16,-1.00,-1.00,-1.00,0.26,18.15,-1.00,3.65,0.75,0.66,0.08,-0.14,0.13,1.03,-1.11,0.19,14.31,-0.10,0.07,5.75,1.37,-0.40,19.73,-26.24,0.28,0.22,0.37,0.26,0.21,0.32,-0.06,-0.27,0.47,0.77,-1.81,3.23,2.74,0.00,0.22,0.22,7.08,0.02,0.61,1.12,1.54,0.37,41.62,14.91,-1.00,0,,,,,,,,,,,,,,,,,,,
6604,Tecmilenio - Equipo ITAC - 6604,Houston,Laguna Regional,4,1417,12.59,-91.63,0.22,5.99,-0.64,7.14,-1.00,-1.00,-1.00,0.15,22.70,-1.00,3.85,0.91,1.12,0.17,-0.05,0.07,2.14,-0.38,0.09,18.91,0.89,-1.79,-20.05,1.69,-1.41,-4.35,-74.81,0.41,0.65,0.23,0.38,0.44,0.34,-0.32,-0.35,0.30,3.70,2.59,0.79,3.76,0.00,0.17,0.17,8.18,-0.01,2.47,-0.86,-0.20,0.18,7.30,0.10,-1.00,0,,,,,,,,,,,,,,,,,,,
6605,Tecmilenio - Synergy - 6605,Houston,Monterrey Regional,1,1361,-13.33,-96.71,-0.12,0.71,-16.66,9.95,-1.00,-1.00,-1.00,0.20,10.79,-1.00,1.39,0.00,-0.31,-0.04,-0.03,-0.01,-0.69,-2.42,-0.08,-28.28,1.13,-0.88,6.32,1.39,1.14,-21.70,-85.72,0.41,0.40,0.35,0.51,0.59,0.27,0.12,0.02,0.42,5.04,1.40,3.46,5.09,0.09,0.12,0.21,9.09,0.00,-0.65,-0.06,0.01,-0.28,-3.04,-7.36,-1.00,0,,,,,,,,,,,,,,,,,,,
6606,Tecmilenio PINK HAWKS 6606,Houston,Laguna Regional,4,1429,42.60,-64.55,0.27,8.70,17.71,8.26,-1.00,-1.00,-1.00,0.36,6.94,-1.00,6.35,1.00,0.55,0.04,0.63,0.65,2.35,-0.08,0.06,17.33,1.76,0.58,-7.13,-1.21,0.57,11.34,-58.46,-0.08,0.12,0.24,0.73,0.86,0.26,0.27,0.29,0.25,6.36,3.31,-2.39,7.35,0.00,0.21,0.21,10.00,-0.01,2.48,0.18,0.39,0.28,22.19,7.93,-1.00,492,,,,,,,,,,,,,,,,,,,
6608,Tecmilenio ARCADIA 6608,Houston,Laguna Regional,4,1433,73.30,-12.11,0.80,7.32,45.21,12.06,-1.00,-1.00,-1.00,0.08,21.19,-1.00,2.71,0.71,2.36,0.19,-0.05,-0.04,4.62,3.06,0.18,36.45,0.96,0.94,-0.84,2.59,-0.06,36.49,-6.36,0.58,0.53,0.38,0.79,0.85,0.24,0.33,0.36,0.18,8.72,2.19,2.00,7.86,0.00,0.15,0.15,7.14,-0.01,0.80,2.20,0.85,-0.09,25.23,8.70,-1.00,328,,,,,,,,,,,,,,,,,,,
6610,Robot Roll Call,Detroit,FIM District Forest Hills Event,6,1396,90.22,-24.71,0.54,7.78,70.26,8.15,-1.00,-1.00,-1.00,0.29,8.39,-1.00,4.93,0.92,1.47,0.17,-0.04,0.37,2.85,-1.83,0.19,41.37,0.38,0.35,20.82,1.33,0.85,63.38,0.44,0.18,0.10,0.43,0.58,0.89,0.19,0.23,0.38,0.26,6.87,2.58,-0.27,5.84,0.00,0.32,0.32,11.25,-0.06,-0.52,0.96,0.48,-0.03,9.54,4.03,-1.00,0,,,,,,,,,,,,,,,,,,,
6610,Robot Roll Call,Detroit,FIM District Kettering University Event #1,1,1360,2.84,-129.88,-0.55,4.44,-0.55,-2.91,-1.00,-1.00,-1.00,0.44,-15.04,-1.00,4.36,0.92,0.06,-0.04,-0.02,-0.07,0.09,-1.38,-0.03,19.05,0.61,-1.76,-17.18,0.71,-1.11,-1.00,-113.36,0.21,0.10,0.38,0.17,0.23,0.20,-0.39,-0.24,0.18,0.46,5.29,-9.94,1.74,0.08,0.17,0.25,10.00,-0.08,0.40,-0.11,-0.17,0.10,-2.21,1.85,-1.00,0,,,,,,,,,,,,,,,,,,,
6611,Au Gres Robotics,Detroit,FIM District Alpena Event,6,1299,59.21,-44.16,0.06,4.70,44.06,0.18,-1.00,-1.00,-1.00,0.38,13.21,-1.00,5.06,1.00,-0.04,-0.01,-0.14,-0.17,-0.36,-4.68,-0.03,38.58,1.22,0.03,5.56,0.65,-1.41,42.76,-20.92,0.33,0.29,0.34,-0.36,-0.01,0.12,-0.05,-0.02,0.28,1.30,3.19,0.58,-3.60,0.00,0.17,0.17,7.92,0.00,-0.28,0.78,0.18,0.26,3.10,10.25,-1.00,0,,,,,,,,,,,,,,,,,,,
6611,Au Gres Robotics,Detroit,FIM District Midland Event,4,1324,4.54,-117.19,-0.67,0.84,-5.53,6.43,-1.00,-1.00,-1.00,-0.03,-4.85,-1.00,1.65,0.42,-0.09,0.00,-0.32,-0.22,-0.82,-3.27,-0.03,11.01,0.55,-1.88,-10.26,1.32,-2.35,-3.48,-93.43,0.28,0.11,0.45,0.04,0.20,0.26,-0.74,-0.71,0.42,-2.04,2.02,3.63,0.79,0.08,0.19,0.28,10.00,-0.07,-0.02,0.15,0.16,0.08,3.84,2.79,-1.00,0,,,,,,,,,,,,,,,,,,,
6612,NexGen,Houston,Sacramento Regional,4,1425,76.81,-41.17,0.45,11.71,42.57,8.00,-1.00,-1.00,-1.00,0.51,-14.83,-1.00,5.02,0.88,3.50,0.47,-0.15,0.13,6.70,2.29,0.28,15.53,0.65,1.52,19.28,1.79,-0.19,36.14,-41.49,0.40,0.60,0.19,0.63,0.52,0.39,-0.07,0.17,0.33,6.44,3.33,-1.70,6.38,0.00,0.23,0.23,9.38,0.00,-0.79,-0.02,0.44,0.58,7.15,14.50,-1.00,0,,,,,,,,,,,,,,,,,,,
6613,Gogebic Range Robotics,Detroit,Seven Rivers Regional,6,1549,98.62,36.85,0.81,10.01,78.83,3.71,-1.00,-1.00,-1.00,0.13,14.86,-1.00,4.30,1.00,0.35,-0.01,2.51,3.26,5.71,-0.48,0.12,41.60,0.63,0.81,28.39,-0.66,1.03,71.83,26.10,0.11,0.10,0.34,0.43,0.67,0.27,0.69,0.63,0.16,7.00,4.44,-5.08,4.35,0.00,0.33,0.33,12.50,0.02,-0.03,0.57,-0.11,0.13,-3.01,6.05,-1.00,0,,,,,,,,,,,,,,,,,,,
6613,Gogebic Range Robotics,Detroit,Northern Lights Regional,2,1522,112.42,30.81,0.66,5.70,51.25,18.07,-1.00,-1.00,-1.00,0.21,18.38,-1.00,5.41,0.91,0.38,0.07,-0.23,-0.01,0.29,-0.49,0.01,22.76,3.19,2.79,16.32,0.95,-0.06,41.81,-3.29,0.60,0.59,0.31,0.99,1.06,0.32,0.04,0.24,0.38,9.44,1.22,6.76,10.08,0.18,0.24,0.42,14.55,0.11,0.78,1.22,0.96,1.25,27.92,37.40,-1.00,0,,,,,,,,,,,,,,,,,,,
6615,Belle Voxel - Bots,Detroit,FIM District Belleville Event,4,1572,115.84,75.82,0.72,3.82,78.10,24.43,-1.00,-1.00,-1.00,0.47,15.16,-1.00,5.18,1.00,-0.49,-0.06,-0.18,-0.22,-1.35,-3.57,-0.01,30.81,-0.46,1.43,38.69,-0.02,1.25,72.18,44.52,-0.13,-0.23,0.41,1.12,1.04,0.34,0.45,0.38,0.25,5.91,1.56,11.69,11.17,0.38,0.23,0.62,20.38,0.00,-0.16,1.31,0.25,0.12,5.53,9.49,-1.00,80,,,,,,,,,,,,,,,,,,,
6615,Belle Voxel - Bots,Detroit,FIM District St. Joseph Event,2,1495,75.02,-23.14,0.25,6.90,57.31,6.25,-1.00,-1.00,-1.00,0.29,17.88,-1.00,5.32,0.94,0.78,0.04,0.01,-0.30,1.58,-0.34,0.12,40.60,-1.10,-0.51,11.08,0.70,1.55,52.72,-7.73,-0.02,0.07,0.31,0.83,0.79,0.34,0.13,0.06,0.32,4.59,2.89,-5.11,8.48,0.00,0.45,0.45,15.28,-0.04,1.18,0.18,-0.43,0.15,-4.90,4.64,-1.00,80,,,,,,,,,,,,,,,,,,,
6616,Mechanical Pumas,Detroit,FIM District Belleville Event,4,1429,92.44,-27.71,0.33,11.49,59.32,14.62,-1.00,-1.00,-1.00,0.42,10.58,-1.00,5.32,0.83,3.06,0.27,0.02,-0.18,6.17,4.86,0.26,37.45,0.99,-0.49,11.70,4.49,1.09,49.75,-14.54,0.93,0.85,0.40,0.59,0.68,0.26,0.17,0.38,0.05,9.57,5.14,3.56,5.92,0.17,0.22,0.39,14.17,0.00,0.41,0.40,0.52,0.20,15.04,6.99,-1.00,0,,,,,,,,,,,,,,,,,,,
6616,Mechanical Pumas,Detroit,FIM District Center Line Event,2,1395,44.18,-27.96,0.45,4.77,25.67,6.80,-1.00,-1.00,-1.00,0.39,20.77,-1.00,5.09,1.00,-0.13,0.02,-0.03,0.03,-0.32,-0.09,0.05,25.17,3.31,2.14,-9.90,3.54,-0.82,16.59,-32.67,1.02,0.91,0.40,0.20,0.44,0.13,0.37,0.47,0.19,9.08,3.37,1.40,2.03,0.00,0.13,0.13,8.33,-0.01,-0.24,0.00,0.40,0.28,8.90,7.02,-1.00,0,,,,,,,,,,,,,,,,,,,
6618,WARHBOTS,Detroit,FIM District Lincoln Event,3,1590,108.46,9.80,0.02,5.76,75.47,19.68,-1.00,-1.00,-1.00,0.44,29.79,-1.00,5.32,1.00,-0.42,0.02,0.64,1.38,0.44,-5.18,0.07,44.48,5.55,3.93,7.11,6.79,0.91,56.43,4.54,1.79,1.67,0.45,0.90,0.86,0.35,1.17,1.28,-0.06,19.04,1.80,8.90,8.98,0.42,0.33,0.75,23.42,0.04,1.15,0.13,0.32,0.28,13.76,7.56,-1.00,76,,,,,,,,,,,,,,,,,,,
6618,WARHBOTS,Detroit,FIM District Gibraltar Event,1,1586,145.63,68.88,0.65,3.78,103.49,32.05,-1.00,-1.00,-1.00,0.23,14.93,-1.00,5.61,1.00,-0.80,-0.09,-0.11,0.10,-1.83,-6.15,-0.07,55.19,1.32,3.75,20.90,5.60,1.45,81.29,30.04,1.26,1.80,0.14,0.96,1.22,0.15,1.37,1.42,0.03,22.21,0.41,24.57,7.06,0.50,0.24,0.74,23.21,0.13,-0.50,1.15,0.07,0.02,-0.67,6.32,-1.00,76,,,,,,,,,,,,,,,,,,,
6619,GravitechX,Houston,Silicon Valley Regional,5,1451,68.69,-74.22,-0.04,7.03,48.76,12.51,-1.00,-1.00,-1.00,0.21,-2.13,-1.00,4.14,0.89,1.13,0.16,0.32,0.66,2.90,-2.63,0.00,35.46,-0.20,2.07,3.63,-0.58,-0.01,41.14,-37.41,-0.16,0.26,0.16,0.87,0.71,0.45,0.47,0.55,0.27,7.62,2.08,1.76,8.67,0.00,0.30,0.30,10.56,-0.11,-0.04,0.31,0.89,-0.05,21.95,0.38,-1.00,390,,,,,,,,,,,,,,,,,,,
6619,GravitechX,Houston,Sacramento Regional,4,1455,85.88,-1.59,0.02,3.82,60.19,9.15,-1.00,-1.00,-1.00,0.09,7.51,-1.00,4.15,1.00,0.46,0.02,-0.63,-0.15,-0.33,-5.20,0.12,36.58,1.73,0.87,19.22,1.08,0.81,57.47,3.78,0.16,-0.04,0.52,0.71,0.66,0.36,0.18,-0.08,0.43,2.71,3.20,-1.02,6.97,0.13,0.25,0.38,14.38,-0.03,0.32,1.91,0.40,0.13,11.66,12.75,-1.00,390,,,,,,,,,,,,,,,,,,,
6620,The Northmengineers,Detroit,NE District Rhode Island Event,4,1369,24.51,-142.03,-0.19,3.11,21.84,0.27,-1.00,-1.00,-1.00,0.15,-9.51,-1.00,2.84,0.75,0.56,0.05,-0.43,0.00,0.27,-2.26,0.06,15.24,1.93,0.84,-5.43,4.19,0.00,10.66,-95.12,1.14,1.16,0.28,0.71,0.91,0.25,-0.15,0.17,0.24,11.18,3.73,-10.60,7.14,0.00,0.28,0.28,12.50,-0.02,0.85,0.21,1.00,-0.07,29.15,-0.75,-1.00,0,,,,,,,,,,,,,,,,,,,
6620,The Northmengineers,Detroit,NE District SE Mass Event,2,1519,89.69,-42.68,0.13,2.58,66.75,16.46,-1.00,-1.00,-1.00,0.25,-8.84,-1.00,3.30,0.89,-0.43,0.01,0.07,-0.24,-0.72,-5.27,0.01,40.59,1.16,0.43,13.21,3.19,0.12,54.35,-36.99,0.94,0.99,0.28,0.83,0.98,0.25,0.44,0.51,0.16,12.41,3.18,5.02,8.26,0.39,0.19,0.58,19.17,0.00,0.44,0.18,0.45,0.12,13.41,3.90,-1.00,0,,,,,,,,,,,,,,,,,,,
6621,Artemis Robotics ,Detroit,New York Tech Valley Regional,3,1560,176.01,112.98,1.47,9.00,129.96,34.49,-1.00,-1.00,-1.00,0.30,11.51,-1.00,4.87,0.94,1.63,0.21,0.43,0.54,4.13,1.58,0.25,63.72,1.55,4.12,45.27,1.62,2.53,115.63,83.96,0.50,0.63,0.25,1.57,1.37,0.44,0.92,0.86,0.23,14.33,0.10,18.72,15.66,0.75,0.09,0.84,26.25,0.21,0.31,0.67,0.14,-0.03,5.03,2.56,-1.00,0,,,,,,,,,,,,,,,,,,,
6621,Artemis Robotics ,Detroit,Central New York Regional,1,1398,75.59,-73.48,-0.03,8.75,37.51,18.63,-1.00,-1.00,-1.00,0.37,-1.58,-1.00,5.16,1.00,1.83,0.17,-0.03,-0.50,3.59,4.24,0.20,33.13,1.38,1.08,-3.56,1.18,-1.09,29.56,-70.16,0.31,0.26,0.43,1.18,1.01,0.41,0.23,0.32,0.19,7.95,1.93,4.95,11.75,0.25,0.28,0.53,18.33,-0.05,0.31,0.26,0.51,0.38,14.43,10.70,-1.00,0,,,,,,,,,,,,,,,,,,,
6622,Stan Robotix,Detroit,Festival de Robotique - Montreal Regional,1,1454,50.81,-80.56,0.01,7.58,25.34,16.45,-1.00,-1.00,-1.00,0.19,-6.49,-1.00,2.72,0.56,0.99,0.05,1.44,2.37,4.86,-1.90,-0.02,32.17,0.79,-1.25,-8.39,1.52,-0.95,21.59,-76.86,0.40,0.41,0.30,0.56,0.62,0.29,-0.44,-0.28,0.34,3.76,1.46,8.90,6.08,0.11,0.31,0.43,14.44,-0.09,1.85,0.27,-0.10,0.00,6.79,1.44,-1.00,0,,,,,,,,,,,,,,,,,,,
