Team,Final Score,adjust Points,auto Ownership Points,auto Points,auto Quest Ranking Point,auto Run Points,auto Scale Ownership Sec,auto Switch At Zero,auto Switch Ownership Sec,endgame Points,face The Boss Ranking Point,foul Count,foul Points,rp,tech Foul Count,teleop Ownership Points,teleop Points,teleop Scale Boost Sec,teleop Scale Force Sec,teleop Scale Ownership Sec,teleop Switch Boost Sec,teleop Switch Force Sec,teleop Switch Ownership Sec,total Points,vault Boost Played,vault Boost Total,vault Force Played,vault Force Total,vault Levitate Played,vault Levitate Total,vault Points
1317,118.7793445647,0,2.3514705881,7.0575105734,0.2368551888,4.7060399853,1.4466042081,0.1714624599,-0.270868914,20.5844607526,0.0065597704,-0.3897244919,8.4713722789,0.9645295864,-0.250918642,73.3737525592,103.252226046,1.7212901885,0.7705009681,31.1243269298,2.0922070978,-0.4857134407,38.4359283432,118.7793445647,0.7981467846,0.9718715764,0.125406747,0.0056750449,0.8723588389,0.8812559255,9.2940127341
1318,164.8542156164,0,7.8656458304,12.774316504,0.3808628704,4.9086706736,0.8011393487,0.4810228655,3.1316835665,28.853978526,0.0333703167,0.1155444628,6.3197822314,1.1602690141,-0.058919728,102.9742232179,145.7571688392,1.7701717893,2.1897491427,43.8905666617,3.4824021931,1.0545113791,53.8310825737,164.8542156164,0.6475245099,1.0013415492,0.6279384015,0.6111159914,1.253756504,1.1733358785,13.9289670954
1319,115.6640280841,0,1.0470494826,4.6711719735,0.0537121167,3.6241224909,0.4978851939,0.0094930455,0.0256395474,9.333128497,-0.0299923599,-0.4921040695,-0.0359212139,0.7203809255,0.1640411433,95.7925753504,111.0231027478,2.4920470931,-0.3818206618,62.0109789885,3.0796159024,0.3929220884,28.2099333663,115.6640280841,0.6827933685,0.6426931395,-0.033935223,-0.1684317235,0.1529712663,0.7052183641,5.8973989005
1322,104.6047849356,0,-0.0055652236,4.1261253737,-0.0742164504,4.1316905973,-0.2124647179,0.0538369788,0.2096821061,25.3492545438,0.0946110575,0.2566216205,7.8204356552,0.4409151011,0.0926277381,59.0081662286,92.6562561199,1.0320424217,0.2522537246,30.8958561634,-0.3862372657,1.5392289262,27.4665049092,104.6047849356,0.1817380523,0.2714406042,0.2186620778,0.4003089929,0.8623453527,0.9880174724,8.2988353475
1323,217.8307051048,0,18.0706830743,24.8383621888,0.6819075619,6.7676791145,0.9770642607,0.6317429929,8.0582772764,48.87626609,0.2396104259,0.1343791937,-7.1545058204,2.0846626016,-0.3534706977,138.3814128358,200.1525568623,4.6828444215,-1.311597731,66.6723258593,4.0881281721,-1.1735629708,62.9381143828,217.8307051048,1.1072764948,1.1284161829,-0.0866991381,-0.2295102928,1.7107028043,1.6800696972,12.8948779365
1325,203.9845939348,0,15.1723733521,19.3739578138,0.2089148668,4.2015844617,4.3975181326,0.3040768984,3.1886685434,23.9519842639,0.0783914934,0.5217746595,18.9744402351,1.4721197231,-0.1861697886,132.7503981806,165.6768320323,4.1406568968,-0.8026859257,79.5169256887,-0.3300483114,-0.5962518838,49.4228639065,203.9845939348,0.8604681421,0.9343953259,-0.2567470441,-0.2180357389,1.0344690396,1.0785303306,8.9744495878
1329,56.5298357399,0,1.5247224223,5.8536719949,0.0448607998,4.3289495727,-0.4900891165,0.1396269112,1.2524503276,11.6866393658,0.0146706823,0.1771849667,1.5580536703,-0.121355075,0.6425920994,20.7204567537,49.1117319423,-0.1536604719,4.4379430993,-9.0963003581,2.5835993458,1.9745406546,27.3868182379,56.5298357399,0.6973469468,1.0440867681,1.2322003564,1.2141738558,1.0095392885,1.0826665407,16.7046358228
1332,61.1882224726,0,1.4396359136,6.6779975305,0.2500157363,5.2383616168,-0.1953097079,0.2618380299,0.9151276647,21.1225435143,-0.0115068487,0.4759269826,-5.0512987189,0.310628232,-0.0308159109,23.7501695187,59.5573289886,-0.0829213423,5.0499431503,0.4926636652,2.6475013644,0.2394216457,20.6929258315,61.1882224726,0.0885351057,0.5709341358,0.9392417442,1.1399693611,1.2014401934,1.2260196941,14.6846159555
1334,121.8072792625,0,3.3642563472,7.5227777136,0.230272645,4.1585213664,0.3863645942,0.2569967549,1.2957635795,25.653728516,-0.0044142505,0.4950916507,-3.1651306559,0.9587153998,0.3537775054,77.8602445159,117.4498479011,1.3865986342,4.5467017144,28.3985093917,3.0651899189,-1.1385654599,45.009946571,121.8072792625,0.577883038,0.753898646,0.7691147925,0.8559526541,1.3093288083,1.1773236737,13.9358748692
1339,167.384756745,0,12.8374101014,18.2167759183,0.4882811837,5.3793658168,0.5347889778,0.519191722,5.8839160729,25.2447881218,0.0691596846,-0.0782145502,8.9958868914,1.5144918408,-0.0455444066,99.3581312096,140.1634911931,2.4749458856,1.8456037866,52.2749426914,3.0864489831,1.8857075094,41.5217936494,167.384756745,0.6673517734,0.84345184,0.5022293055,0.8725881653,1.4254645712,1.396074367,15.5605718617
1350,45.7304927836,0,1.2737945294,5.9431536988,0.0820699978,4.6693591694,-0.232239219,0.1205901828,0.8691364837,12.4864689561,-0.0094821071,0.1304545193,6.9397473947,-0.2075960158,0.1194635258,10.3456409859,32.840121924,-1.3897401878,0.748371357,-7.5946324909,0.8396109914,-0.0379217476,18.4904026732,45.7304927836,0.4464210369,0.4727446468,0.1082972957,0.4393435639,0.952235978,1.0895141858,10.0080119821
1351,78.1219721314,0,2.9807399626,7.5369557967,0.178202791,4.5562158341,-0.1206966637,0.2185381782,1.611066645,4.4573512191,-0.0049238204,0.265495173,8.7182589164,0.4560256746,0.1512456637,53.0651007301,61.8755416431,-0.2763354212,-0.527343284,19.7465249989,-0.3501860198,2.1758390935,33.9450971723,78.1219721314,-0.0144250178,0.1641907383,0.1118721158,0.2501825572,0.3854023762,0.4562446433,4.3530896939
1359,74.4036399608,0,0.8000713227,5.3038759995,0.1343804569,4.5038046769,0.124770624,0.1012128742,0.2752650374,10.8899829648,-0.0295583,-0.1827988816,4.8248145855,0.1849358558,0.2057420916,46.52632908,64.2708100774,0.3000304524,0.3839422734,19.5248041165,0.0342306891,0.3974448513,26.667263822,74.4036399608,0.1243680165,0.0316337198,0.1440102261,0.3867827807,0.8530757628,0.952483106,6.8544980326
1360,196.5876192945,0,10.4997719726,15.9450694739,0.4675968028,5.4452975013,0.7715178588,0.465789684,4.4783681275,24.9447707625,0.106044761,0.3558413851,12.678379246,1.6557083792,-0.0146703093,131.9093521633,167.9568309392,3.5746670355,0.2647958401,68.8929897639,1.479062496,-0.5643819647,57.9626328678,196.5876192945,0.8271558425,0.8725776896,0.078817807,0.4954598396,0.6772635031,0.8525040735,11.1027080135
